observation,test_name,Excitation_direction,Speed,Pin_des,Pout_des,Pin,Pout,Temp,Flow,Swirl,delta_P,viscosity,gamma,zeta,Cin,Cout,D,L,Cd,Kxx_2,Kxx_5 ,Kxx_7,Kxx_9,Kxx_11,Kxx_13,k_xy_2,k_xy_5,k_xy_7,k_xy_9,k_xy_11,k_xy_13,Cxx_2,Cxx_5,Cxx_7,Cxx_9,Cxx_11,Cxx_13,c_xy_2,c_xy_5,c_xy_7,c_xy_9,c_xy_11,c_xy_13
285,HC7_TP309_14000_35_H ,H,14000,35,25,34.993081,25.255227,33.074702,0.950637,0.11532519,9.738,1.88E-05,1.457,0.997,0.434,0.343,170,98.7,2.82,3.357497133,4.739950682,,6.86586283,8.165965777,9.62726178,4.187423,3.392878,,2.417297,2.111927,2.101836,0.016098,0.016216,,0.014571,0.01414,0.014152,-0.005432,-0.002967,,-0.001713,-0.001292,-0.001059
286,HC7_TP310_14000_130_V ,V,14000,130,100,129.804711,100.541596,26.000536,3.193019,0.091077,29.263,2.07E-05,1.607,1.029,0.419,0.342,170,98.7,2.82,10.66026215,14.22048459,,22.05926596,26.90757044,31.95771211,13.392537,10.468055,,6.700551,5.384826,4.804672,0.060529,0.059716,,0.054961,0.05254,0.05056,-0.024553,-0.013004,,-0.006147,-0.003186,-0.000471
287,HC7_TP311_14000_130_H ,H,14000,130,100,129.63815,100.730788,26.336065,3.188911,0.109621,28.907,2.07E-05,1.607,1.029,0.419,0.342,170,98.7,2.82,10.80783856,15.82127856,,23.47796143,28.57549411,34.18446034,14.427751,10.802285,,6.1159,4.752112,4.198742,0.060831,0.060128,,0.054595,0.053073,0.051776,-0.01793,-0.012288,,-0.006016,-0.004332,-0.003247
288,HC7_TP312_14000_75_V ,V,14000,75,50,77.061246,51.279885,15.505035,2.239703,-0.075682,25.781,1.91E-05,1.545,0.997,0.422,0.342,170,98.7,2.82,6.539512308,10.33232293,,16.43409774,20.03959761,23.94951356,6.347116,4.399535,,2.355051,1.573528,0.695873,0.04606,0.042134,,0.036937,0.03479,0.033358,-0.007095,-0.005335,,-0.003118,-0.002868,-0.002699
289,HC7_TP313_14000_75_H ,H,14000,75,50,74.965577,51.368819,20.720908,2.155709,-0.100709,23.597,1.92E-05,1.534,0.999,0.423,0.342,170,98.7,2.82,5.600741626,8.993761283,,14.47350453,18.09877606,21.88461106,5.600496,4.056351,,2.132087,1.275766,0.232831,0.040953,0.039612,,0.035534,0.034369,0.033467,-0.01057,-0.007291,,-0.00424,-0.003138,-0.002094
290,HC7_TP314_14000_100_V ,V,14000,100,50,99.666053,56.274801,15.541016,3.095106,-0.079716,43.391,1.97E-05,1.583,1.005,0.408,0.342,170,98.7,2.82,8.870199883,15.15206489,,24.74902456,30.02193984,35.45246763,7.924142,5.620617,,3.115317,2.083963,0.834014,0.063627,0.056729,,0.048097,0.0446,0.041773,-0.009355,-0.006167,,-0.00372,-0.003376,-0.003285
291,HC7_TP315_14000_100_H ,H,14000,100,50,99.057223,56.121585,15.375711,3.074872,-0.090301,42.936,1.96E-05,1.582,1.004,0.408,0.342,170,98.7,2.82,8.556349042,14.70864964,,24.20136147,29.65547519,35.47621566,7.077399,5.351525,,3.019843,1.910065,0.790571,0.060715,0.056223,,0.048267,0.045698,0.043317,-0.013361,-0.009374,,-0.005634,-0.004174,-0.002938
292,HC7_TP316_14000_150_V ,V,14000,150,50,149.091349,44.592177,22.864512,4.990924,-0.132775,104.499,2.15E-05,1.637,1.04,0.36,0.341,170,98.7,2.82,11.70612577,25.61967013,,44.76447282,53.85312973,63.69367634,6.891834,3.589674,,0.686853,-0.5446,-1.966677,0.107111,0.089621,,0.068217,0.060679,0.05495,-0.012207,-0.006333,,-0.002867,-0.002501,-0.002355
293,HC7_TP317_14000_150_H ,H,14000,150,50,148.213752,44.622953,17.100953,5.002153,-0.122533,103.591,2.14E-05,1.649,1.035,0.361,0.341,170,98.7,2.82,11.27473756,25.95267131,,45.89386801,56.40128443,67.21935593,6.940082,3.945035,,1.378678,0.232098,-0.536613,0.107721,0.089959,,0.06863,0.062242,0.056645,-0.02038,-0.012586,,-0.006514,-0.004643,-0.002587
294,HC7_TP318_10000_35_V R,V,10000,35,25,35.628513,25.21703,18.47775,0.974164,-0.11173,10.411,1.83E-05,1.466,0.993,0.434,0.343,170,98.7,2.82,2.970925487,3.829650533,4.558585694,5.430719672,6.64103029,,1.52741,1.003661,0.703357,0.495316,0.35782,,0.016645,0.015895,0.015342,0.014944,0.014746,,-0.001883,-0.001329,-0.001054,-0.000869,-0.000873,
295,HC7_TP319_10000_35_H R,H,10000,35,25,35.671962,25.871555,18.827632,0.975068,-0.149231,9.8,1.84E-05,1.466,0.993,0.434,0.343,170,98.7,2.82,2.829508936,3.67146846,4.428543471,5.280570111,6.476710216,,1.443541,1.002562,0.690934,0.358422,-0.024147,,0.015914,0.015658,0.015303,0.015141,0.015191,,-0.003371,-0.002235,-0.001709,-0.001284,-0.000883,
